MINERAL HARDENED_DIAMOND
PLASMAFLUX_POWER_ORB RADIANT_POWER_ORB
MANA_FLUX_POWER_ORB RADIANT_POWER_ORB
OVERFLUX_POWER_ORB RADIANT_POWER_ORB
OVERFLUX_POWER_ORB MANA_FLUX_POWER_ORB

WEIRDER_TUBA WEIRD_TUBA

REVIVED_HEART CRYSTALLIZED_HEART
REVIVED_HEART ZOMBIE_HEART
CRYSTALLIZED_HEART ZOMBIE_HEART

WAND_OF_RESTORATION WAND_OF_HEALING
WAND_OF_RESTORATION WAND_OF_MENDING
WAND_OF_MENDING WAND_OF_HEALING
MITHRIL_DRILL_2 MITHRIL_DRILL_1

GEMSTONE_DRILL_4 GEMSTONE_DRILL_3
GEMSTONE_DRILL_4 GEMSTONE_DRILL_2
GEMSTONE_DRILL_4 GEMSTONE_DRILL_1
GEMSTONE_DRILL_3 GEMSTONE_DRILL_2
GEMSTONE_DRILL_3 GEMSTONE_DRILL_1
GEMSTONE_DRILL_2 GEMSTONE_DRILL_1

TITANIUM_DRILL_4 TITANIUM_DRILL_1
TITANIUM_DRILL_4 TITANIUM_DRILL_3
TITANIUM_DRILL_4 TITANIUM_DRILL_2
TITANIUM_DRILL_3 TITANIUM_DRILL_1
TITANIUM_DRILL_3 TITANIUM_DRILL_2
TITANIUM_DRILL_2 TITANIUM_DRILL_1

HELLFIRE_ROD MAGMA_ROD
HELLFIRE_ROD INFERNO_ROD
INFERNO_ROD MAGMA_ROD

THEORETICAL_HOE_CANE_3 THEORETICAL_HOE_CANE_1
THEORETICAL_HOE_CANE_3 THEORETICAL_HOE_CANE_2
THEORETICAL_HOE_CANE_2 THEORETICAL_HOE_CANE_1

THEORETICAL_HOE_WARTS_3 THEORETICAL_HOE_WARTS_2
THEORETICAL_HOE_WARTS_3 THEORETICAL_HOE_WARTS_2
THEORETICAL_HOE_WARTS_2 THEORETICAL_HOE_WARTS_1

THEORETICAL_HOE_POTATO_3 THEORETICAL_HOE_POTATO_2
THEORETICAL_HOE_POTATO_3 THEORETICAL_HOE_POTATO_2
THEORETICAL_HOE_POTATO_2 THEORETICAL_HOE_POTATO_1

THEORETICAL_HOE_CARROT_3 THEORETICAL_HOE_CARROT_2
THEORETICAL_HOE_CARROT_3 THEORETICAL_HOE_CARROT_2
THEORETICAL_HOE_CARROT_2 THEORETICAL_HOE_CARROT_1

THEORETICAL_HOE_WHEAT_3 THEORETICAL_HOE_WHEAT_1
THEORETICAL_HOE_WHEAT_3 THEORETICAL_HOE_WHEAT_2
THEORETICAL_HOE_WHEAT_2 THEORETICAL_HOE_WHEAT_1




MELON_DICER_3 MELON_DICER_2
MELON_DICER_3 MELON_DICER
 
MELON_DICER_2 MELON_DICER
 
 
PUMPKIN_DICER PUMPKIN_DICER_2 

PUMPKIN_DICER_3 PUMPKIN_DICER_2
PUMPKIN_DICER_3 PUMPKIN_DICER

BOUQUET_OF_LIES FLOWER_OF_TRUTH

BONE_REAVER SPIRIT_SWORD
STARRED_FELTHORN_REAPER FELTHORN_REAPER
FELTHORN_REAPER BONE_REAVER
FELTHORN_REAPER SPIRIT_SWORD
